id,title,module,section,status,priority,detected_date,detected_time,description,original_test_result,fix_status,fix_time,update,reviewer,fix_note
CON-001,روی اعلان ها که کلیک میکنیم 1 تا 2 ثانیه delay دارد,قراردادها,,Closed,unspecified,1405/03/25,19:10-19-25,روی اعلان ها که کلیک میکنیم 1 تا 2 ثانیه delay دارد,Fail,fixed (pass),00:25,1405/03/26,,روی اعلان ها که کلیک میکنیم 1 تا 2 ثانیه delay دارد
CON-002,وقتی یکبار بر روی ایجاد قرارداد نماینده از صفحه درخواست قراردادها که کلیک میکنیم از سری بعد باید از طریق…,قراردادها,,Closed,unspecified,1405/03/25,,وقتی یکبار بر روی ایجاد قرارداد نماینده از صفحه درخواست قراردادها که کلیک میکنیم از سری بعد باید از طریق قسمت اعلان ها اقدام به درست کردن قرارداد کنیم,Fail,fixed (pass),00:25,1405/03/26,,
CON-003,برای ساخت قرارداد راننده به طور خودکار قالب اشتباه انتخاب میشود,قراردادها,,Closed,unspecified,1405/03/25,,برای ساخت قرارداد راننده به طور خودکار قالب اشتباه انتخاب میشود,Fail,fixed (pass),21:30,,,برای ساخت قرارداد راننده به طور خودکار قالب اشتباه انتخاب میشود
CON-004,قالب قابل تغییر نیست,قراردادها,,Closed,unspecified,1405/03/25,,قالب قابل تغییر نیست,Fail,fixed (pass),21:30,,,قالب قابل تغییر نیست
CON-005,پورسانت نمایندگی در قالب نمایش داده نمیشود,قراردادها,,Closed,major,1405/03/26,22:00,پورسانت نمایندگی در قالب نمایش داده نمیشود,Fail,fixed (pass),,آرون: تیبل تعرفه ها ساخته شد 1405/04/06,,مشکل ماژول تعرفه تخفیف میباشد که تعرفه را ادیت کرده و خراب میکند (اما این مورد باید در دیتابیس قرارداد ها به ازای قالب ها و قرارداد ذخیره گردد تا مشکل دیپندنسی به ماژول تعرفه و تخفیف برای قالب های ساخته شده و قرارداد های ساخته شده حل شود.)
CON-006,محتوای قرارداد در قرارداد راننده هنگام مشاهده و یا مابقی مراحل ناقص نمایش داده میشود,قراردادها,,Closed,major,1405/03/26,01:00,محتوای قرارداد در قرارداد راننده هنگام مشاهده و یا مابقی مراحل ناقص نمایش داده میشود,Fail,fixed (pass),,1405/04/07,,آرون: مشکل زمانی ایجاد میشد که تعداد کاراکترهای متن اصلی از یک تعدادی بیشتر میشد
CON-007,در مدیریت اسناد ،جایگزینی عکس، عکس جدید را نشان نمیدهد…,قراردادها,,Partially Fixed,major,1405/03/26,01:14,در مدیریت اسناد ،جایگزینی عکس، عکس جدید را نشان نمیدهد.و برای پاک کردن به تعداد عکس های جایگزین شده باید از گزینه حذف استفاده کرد.,Fail,partially fixed,,آرون: 500 میخوره 1405/04/06,آریا,آرون: برای جایگزینی عکس باید از /api/v1/file/replace استفاده بشه، api قبلا زده شده بود، فرانت باید فیکس کنه. آپدیت: فیکس شد
CON-008,در قالب نمایندگی،میتوان نوع شخص حقوقی (تیپاکس) را تغییر داد,قراردادها,,Open,medium,1405/03/27,22:10,در قالب نمایندگی،میتوان نوع شخص حقوقی (تیپاکس) را تغییر داد,Fail,,,,میلاد,
CON-009,هنگام ویرایش قالب، فیلدهای پویا ساخته شده نمایش داده نمیشود.,قراردادها,,Closed,unspecified,1405/03/27,22:15,هنگام ویرایش قالب، فیلدهای پویا ساخته شده نمایش داده نمیشود.,Fail,fixed (pass),,,,هنگام ویرایش قالب، فیلدهای پویا ساخته شده نمایش داده نمیشود.
CON-010,وقتی یک فیلد پویا را از لیست فیلدهای پویا پاک میکنیم…,قراردادها,,Closed,unspecified,1405/03/27,17:00,وقتی یک فیلد پویا را از لیست فیلدهای پویا پاک میکنیم،تمامی فیلدهایی که در متن قرارداد تغییر دادیم به حالت قبل برمیگردد.,Fail,fixed (pass),17:45,,,وقتی یک فیلد پویا را از لیست فیلدهای پویا پاک میکنیم،تمامی فیلدهایی که در متن قرارداد تغییر دادیم به حالت قبل برمیگردد.
